Ender-3   BOM,,,,,
Part Code,Part Name,Specification,UNIT,Qty,
400404040,Hand Twisted Nut,D60mm,PCS,4,
400404041,4040 Endcap,ABS,PCS,2,
400406006,Foot pads,20*40mm*3mm,PCS,4,
400407013,D4 Teflon tube,D4-d2-L400mm,PCS,1,
400409003,Silk pole cover,T8*8,PCS,1,
400501034,Linear tube,W8-L450mm,PCS,1,
400501035,Linear tube,W8-L950mm,PCS,1,
400504007,Fan cover sticker,,PCS,1,
400504008,Product Qualification Certificate,,PCS,1,
400505021,Fiber board,235*235*1.0mm,PCS,1,
400506001,Scissor,,PCS,1,
400506002,shovel,,PCS,1,
400506005,1.5#  Hexagonal wrench inside,,PCS,1,
400506006,2#  Hexagonal wrench inside,,PCS,1,
400506007,2.5#  Hexagonal wrench inside,,PCS,1,
400506008,3#  Hexagonal wrench inside,,PCS,1,
400506009,4#  Hexagonal wrench inside,,PCS,1,
400506011,screwdriver,,PCS,1,
400506016,power cord,,PCS,1,
400506020,needle,,PCS,1,
400506029,tie,4*150mm,PCS,10,
400506035,6#  Open wrench,,PCS,1,
400506036,8-10#  Open wrench,,PCS,1,
400506044,Clip,"6#,15mm",PCS,4,
500101065,Bubble cotton,495*380*160mm,PCS,1,
500201001,Self-Sealing bag,6cm*9cm*0.8mm,PCS,14,
500201002,Self-Sealing bag,9cm*13cm*0.8mm,PCS,1,
500201004,Self-Sealing bag,15cm*20cm*0.8mm,PCS,2,
500201006,Self-Sealing bag,18cm*26cm*0.6mm,PCS,1,
500201008,Prevention electrostatic bag,15cm*20cm,PCS,1,
500301056,paper box,510*400*190mm,PCS,1,
500601001,Opinion Card,,PCS,1,
600101011,Instruction,,PCS,1,
600401004,Memory Card,8G,PCS,1,
600501001,Card Reader,,PCS,1,
600601016,warranty card,,PCS,1,
600601023,Manufacture of numbered stickers, 60*10.4MM,PCS,1,
600601026,Specification stickers, 65*40mm,PCS,1,
600601058,Facebook code sticker,41*41mm,PCS,1,
700206003,Testing consumables,5M,PCS,1,
700301044,High temperature cotton,20*50mm,PCS,1,
700301051,gummed paper,30*60,PCS,3,
700301054,gummed paper,60*60mm,PCS,1,
700301056,High temperature cotton,50*60mm,PCS,1,
,,,,
